pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
HD 93963 A c,3.11976057,18.4,1212.45,0.04726,543.8,5908.0,1.0311,1.0844,0.11,3.31
TOI-4479 b,2.82,8.35,861.0,0.0164,92.5,3400.0,0.451,0.452,0.0,2.05
Kepler-103 c,5.4539,58.47,434.0,0.6679,5.97,6047.0,1.492,1.212,0.15,1.98
TOI-4336 A c,1.251,1.55,399.5,0.05092,4.24,3307.0,0.326,0.306,0.14,4.35
TOI-5799 c,1.76,3.75,337.0,0.0782,,3452.0,0.321,0.325,0.01,3.78
Kepler-725 b,10.8,81.6,514.0,0.2238,12.1,5395.0,0.88,0.95,0.14,0.356
Kepler-164 c,2.73,7.9,881.0,0.097,131.487,5888.0,1.148,1.036,0.0,2.13
TOI-5261 b,11.60129502,3651.84839643,1244.0,0.05134,159.592,5790.0,1.021,1.037,0.254,12.9
GJ 463 b,13.1,1080.6165838,,3.53,,3563.0,0.483,0.486,-0.16,2.64
Kepler-301 d,1.75,3.71,725.0,0.112,68.931,5815.0,0.9,1.022,0.187,3.8
Kepler-301 c,1.35,2.39,989.0,0.06,238.481,5815.0,0.9,1.022,0.187,5.34
Kepler-342 d,2.49,6.76,658.0,0.242,44.828,6175.0,1.472,1.213,-0.0006,2.41
Kepler-191 b,1.34,2.36,722.0,0.087,50.2,5282.0,0.789,0.857,0.13,5.39
Kepler-194 d,2.4,6.35,562.0,0.275,12.863,6089.0,1.025,0.94,-0.03,2.52
Kepler-208 e,1.48,2.79,880.0,0.132,106.345,6092.0,1.314,1.082,-0.0423,4.73
Kepler-344 c,2.95,9.01,360.0,0.488,2.673,5774.0,0.976,0.931,0.0399,1.93
Kepler-304 d,2.75,8.0,611.0,0.08,33.16,4731.0,0.687,0.737,0.03,2.11
Kepler-304 c,2.17,5.35,746.0,0.054,73.598,4731.0,0.687,0.737,0.03,2.88
Kepler-81 d,1.21,1.92,418.0,0.128,7.507,4500.0,0.595,0.648,-0.18,5.96
Kepler-548 b,11.99,,1017.0,0.0495,237.035,5535.0,0.9,0.93,0.0,
Kepler-723 b,12.19,,1016.0,0.0479,251.48,5539.0,0.89,0.92,0.0,
Kepler-197 e,0.91,0.693,691.0,0.164,57.941,6004.0,1.12,0.857,-0.441,5.05
Kepler-200 c,1.59,3.15,806.0,0.09,126.361,5678.0,0.944,0.972,-0.006,4.31
Kepler-346 c,3.07,9.64,654.0,0.168,23.812,6033.0,1.021,0.943,0.1,1.83
Kepler-350 b,1.85,16.9,1037.0,0.104,257.721,6186.0,1.534,1.19,0.041,4.9
Kepler-306 e,2.27,5.77,390.0,0.227,6.185,4954.0,0.719,0.75,-0.13,2.71
Kepler-84 e,2.6,7.27,672.0,0.181,48.29,6031.0,1.169,1.06,-0.07,2.27
Kepler-265 e,2.59,7.22,476.0,0.319,10.354,5835.0,1.103,0.97,-0.11,2.28
Kepler-217 c,1.85,4.08,1208.0,0.089,730.808,6171.0,1.799,1.342,-0.07,3.54
Kepler-220 d,0.98,0.904,401.0,0.163,8.208,4632.0,0.666,0.729,-0.1738,5.28
Kepler-351 b,3.06,4.8,498.0,0.214,11.983,5643.0,0.854,0.81,-0.16,0.921
Kepler-352 b,0.86,0.566,694.0,0.085,50.389,5212.0,0.781,0.798,-0.11,4.89
Kepler-84 d,1.38,2.48,1254.0,0.052,584.24,6031.0,1.169,1.06,-0.07,5.19
Kepler-310 d,2.47,7.0,353.0,0.392,3.664,5797.0,0.876,0.854,-0.12,3.3
Kepler-282 b,1.01,1.01,817.0,0.082,195.935,5602.0,0.904,0.86,-0.2,5.39
Kepler-282 c,1.2,1.87,717.0,0.106,116.117,5602.0,0.904,0.86,-0.2,5.95
Kepler-220 e,1.33,2.33,341.0,0.226,4.274,4632.0,0.666,0.729,-0.1738,5.44
Kepler-154 c,2.95,9.01,454.0,0.303,12.071,5690.0,1.001,0.933,0.02,1.93
Kepler-353 b,0.89,0.64,534.0,0.051,27.189,3903.0,0.504,0.553,-0.12,4.99
Kepler-85 e,1.27,0.6,559.0,0.163,24.318,5436.0,0.893,0.947,0.12,1.6
Kepler-55 e,1.55,3.02,728.0,0.048,73.157,4503.0,0.619,0.631,-0.01,4.46
Kepler-310 b,1.19,1.81,665.0,0.111,45.97,5797.0,0.876,0.854,-0.12,5.9
Kepler-286 e,1.77,3.78,539.0,0.176,20.6,5580.0,0.863,0.83,-0.25,3.75
Kepler-368 c,3.88,14.3,575.0,0.36,28.681,5502.0,2.019,1.165,0.03,1.35
Kepler-356 b,1.57,3.09,1294.0,0.057,844.979,6133.0,1.335,1.163,-0.0226,4.39
Kepler-354 d,1.24,2.07,451.0,0.146,8.949,4648.0,0.674,0.652,-0.03,5.97
Kepler-313 c,2.57,7.13,683.0,0.208,51.1,5727.0,1.536,1.114,0.26,2.31
Kepler-142 b,1.99,4.62,1597.0,0.032,1247.908,5790.0,1.269,0.978,0.05,3.22
Kepler-487 b,11.42,,662.0,0.11819,51.492,5444.0,0.88,0.91,0.0,
Kepler-506 b,2.73,7.9,1080.0,0.07437,330.547,6236.0,1.19,1.19,0.09,2.13
Kepler-299 e,1.87,4.16,534.0,0.22,20.174,5617.0,1.032,1.004,0.12,3.5
Kepler-372 b,1.36,2.42,1081.0,0.075,384.627,6509.0,1.137,1.202,-0.13,5.29
Kepler-378 c,0.7,0.271,414.0,0.166,8.166,4661.0,0.671,0.78,0.1369,4.34
